,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89
0,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,LeBron James,LeBron James,LeBron James,LeBron James,Kevin Durant,LeBron James,Kevin Durant,Kevin Durant,Kevin Durant,Dirk Nowitzki,Kevin Garnett,Tim Duncan,LeBron James,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Grant Hill,Scottie Pippen,Scottie Pippen,Scottie Pippen,Charles Barkley,Chris Mullin,Charles Barkley,Charles Barkley,Charles Barkley
1,Jayson Tatum,Jayson Tatum,Kawhi Leonard,LeBron James,Paul George,Kevin Durant,Kawhi Leonard,Kawhi Leonard,Anthony Davis,LeBron James,Kevin Durant,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,Dirk Nowitzki,Dirk Nowitzki,Dirk Nowitzki,Kevin Garnett,Kevin Garnett,Tracy McGrady,Chris Webber,Kevin Garnett,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone
2,Joel Embiid,Nikola Jokic,Nikola Jokic,Anthony Davis,Nikola Jokić,Anthony Davis,Anthony Davis,DeAndre Jordan,Marc Gasol,Joakim Noah,Tim Duncan,Dwight Howard,Dwight Howard,Dwight Howard,Dwight Howard,Dwight Howard,Amar’e Stoudemire,Shaquille O’Neal,Shaquille O’Neal,Shaquille O’Neal,Shaquille O’Neal,Shaquille O’Neal,Shaquille O’Neal,Shaquille O’Neal,Alonzo Mourning,Shaquille O’Neal,Hakeem Olajuwon,David Robinson,David Robinson,Hakeem Olajuwon,Hakeem Olajuwon,David Robinson,David Robinson,Patrick Ewing,Hakeem Olajuwon
3,Shai Gilgeous-Alexander,Devin Booker,Stephen Curry,James Harden,James Harden,James Harden,James Harden,Stephen Curry,Stephen Curry,James Harden,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Allen Iverson,Kobe Bryant,Kobe Bryant,Kobe Bryant,Allen Iverson,Gary Payton,Allen Iverson,Michael Jordan,Michael Jordan,Michael Jordan,John Stockton,John Stockton,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan
4,Luka Doncic,Luka Doncic,Luka Doncic,Luka Doncic,Stephen Curry,Damian Lillard,Russell Westbrook,Russell Westbrook,James Harden,Chris Paul,Chris Paul,Chris Paul,Derrick Rose,Dwyane Wade,Dwyane Wade,Chris Paul,Steve Nash,Steve Nash,Steve Nash,Jason Kidd,Tracy McGrady,Jason Kidd,Jason Kidd,Jason Kidd,Jason Kidd,Gary Payton,Tim Hardaway,Anfernee Hardaway,Anfernee Hardaway,Latrell Sprewell,Mark Price,Clyde Drexler,Magic Johnson,Magic Johnson,Magic Johnson
5,Jimmy Butler,DeMar DeRozan,Julius Randle,Kawhi Leonard,Kevin Durant,LaMarcus Aldridge,Giannis Antetokounmpo,Kevin Durant,LaMarcus Aldridge,Blake Griffin,Carmelo Anthony,Kevin Love,Pau Gasol,Carmelo Anthony,Tim Duncan,Tim Duncan,Chris Bosh,Elton Brand,Kevin Garnett,Tracy McGrady,Dirk Nowitzki,Kevin Garnett,Kevin Garnett,Grant Hill,Grant Hill,Grant Hill,Scottie Pippen,Grant Hill,Charles Barkley,Charles Barkley,Larry Johnson,Charles Barkley,Chris Mullin,Larry Bird,Chris Mullin
6,Jaylen Brown,Kevin Durant,LeBron James,Pascal Siakam,Kawhi Leonard,Giannis Antetokounmpo,Kevin Durant,Draymond Green,DeMarcus Cousins,Kevin Love,Blake Griffin,Blake Griffin,Dirk Nowitzki,Dirk Nowitzki,Paul Pierce,Dirk Nowitzki,LeBron James,Tim Duncan,LeBron James,Peja Stojakovic,Chris Webber,Chris Webber,Vince Carter,Karl Malone,Chris Webber,Vin Baker,Glen Rice,Shawn Kemp,Shawn Kemp,Shawn Kemp,Dominique Wilkins,Scottie Pippen,Dominique Wilkins,Tom Chambers,Tom Chambers
7,Nikola Jokic,Joel Embiid,Joel Embiid,Nikola Jokic,Joel Embiid,Joel Embiid,Rudy Gobert,DeMarcus Cousins,Pau Gasol,Dwight Howard,Marc Gasol,Andrew Bynum,Amar’e Stoudemire,Amar’e Stoudemire,Yao Ming,Amar’e Stoudemire,Yao Ming,Ben Wallace,Amar’e Stoudemire,Jermaine O’Neal,Ben Wallace,Dirk Nowitzki,Dikembe Mutombo,Alonzo Mourning,Shaquille O’Neal,David Robinson,Patrick Ewing,Hakeem Olajuwon,Shaquille O’Neal,David Robinson,Patrick Ewing,Patrick Ewing,Patrick Ewing,Hakeem Olajuwon,Patrick Ewing
8,Donovan Mitchell,Ja Morant,Chris Paul,Damian Lillard,Damian Lillard,DeMar DeRozan,Stephen Curry,Chris Paul,Russell Westbrook,Stephen Curry,Tony Parker,Tony Parker,Dwyane Wade,Steve Nash,Chris Paul,Steve Nash,Gilbert Arenas,Chauncey Billups,Ray Allen,Ben Wallace,Allen Iverson,Allen Iverson,Kobe Bryant,Kobe Bryant,Tim Hardaway,Tim Hardaway,Gary Payton,Gary Payton,Gary Payton,Kevin Johnson,Joe Dumars,Tim Hardaway,Clyde Drexler,John Stockton,John Stockton
9,Stephen Curry,Stephen Curry,Damian Lillard,Chris Paul,Kyrie Irving,Russell Westbrook,Isaiah Thomas,Damian Lillard,Chris Paul,Tony Parker,Russell Westbrook,Russell Westbrook,Russell Westbrook,Deron Williams,Brandon Roy,Deron Williams,Tracy McGrady,Dwyane Wade,Dwyane Wade,Sam Cassell,Jason Kidd,Gary Payton,Tracy McGrady,Allen Iverson,Gary Payton. Seattle SuperSonics,Rod Strickland,Mitch Richmond,John Stockton,Mitch Richmond,Mitch Richmond,John Stockton,John Stockton,Kevin Johnson,Kevin Johnson,Kevin Johnson
10,Julius Randle,Pascal Siakam,Jimmy Butler,Jayson Tatum,Blake Griffin,Paul George,Draymond Green,Paul George,Blake Griffin,Paul George,David Lee,Carmelo Anthony,LaMarcus Aldridge,Tim Duncan,Carmelo Anthony,Carlos Boozer,Carmelo Anthony,Carmelo Anthony,Shawn Marion,Ron Artest,Jamal Mashburn,Jermaine O’Neal,Karl Malone,Vince Carter,Kevin Garnett,Scottie Pippen,Vin Baker,Charles Barkley,Dennis Rodman,Derrick Coleman,Derrick Coleman,Dennis Rodman,Bernard King,Chris Mullin,Terry Cummings
11,LeBron James,LeBron James,Paul George,Jimmy Butler,LeBron James,Jimmy Butler,Jimmy Butler,LaMarcus Aldridge,Tim Duncan,LaMarcus Aldridge,Paul George,Dirk Nowitzki,Zach Randolph,Pau Gasol,Pau Gasol,Paul Pierce,Kevin Garnett,Shawn Marion,Tracy McGrady,Dirk Nowitzki,Paul Pierce,Ben Wallace,Dirk Nowitzki,Chris Webber,Antonio McDyess,Glen Rice,Anthony Mason,Juwan Howard,Detlef Schrempf,Dominique Wilkins,Scottie Pippen,Kevin Willis,James Worthy,James Worthy,Dominique Wilkins
